Tweets
Ele pensa que compra o voto com picanha kkk daí fora lula o povo tá de olhos em suas falácias falsas
"É incrível como o Nordeste é o melhor lugar do mundo para a esquerda....em tempos de eleição! 
Pq lola e o PT passou 16 anos no poder e não colocou água no nordeste? Porque não levou energia?pq não fez a transposição do Rio S Fco? Pq não fez Rodovias?
Bolsonaro em 3 anos fez mais"
A maioria dos brasileiros é honesta e não cais mais em mentiras eleitorais.  Vamos juntos reeleger Bolsonaro 22
"Aviso aos isentões!!
Votem em branco ou nulo e chorem pro resto da vida!! Votos brancos e nulos são Lula!!"
"Lula não foi condenado em 3 instâncias, analfabeto. Foi condenado por um Juiz SUSPEITO , ajustado com Procuradores desonestos e parciais e depois por um TRF4, igualmente desonesto. E teve os processos anulados pelo STF. Então vc está mentindo de novo. Mas os seus crimes são reais"
Lula não mexeu nas alavancas do crescimento estrutural e condenou o Brasil a muitos anos de pobreza.
"Esse Merval pimenta, não é comunista???? Porque ta entregando o PT Aqui?? Avante Brasil  Bolsonaro presidente 2022"
EU AMO Ó MEU PRESIDENTE BOLSONARO VEMOS VENCER ESTÁ GUERRA ESPIRITUAL
Mas aí a carapuça serviu para o Bolsonaro miliciano
meu deus naaaao tirem a taylor dessa prisão a bixinha não aguenta mais
